consumable_id,name,unit,stock_quantity,min_stock_level,unit_price,supplier
1,لیدوکائین ۲٪,میلی‌لیتر,290.33,40.62,45000,تجهیزات پارس دنت
2,کامپوزیت A2,گرم,493.62,158.35,380000,تجهیزات پارس دنت
3,کامپوزیت A3,گرم,388.87,98.26,380000,تجهیزات پارس دنت
4,آمالگام کپسولی,عدد,1216.14,194.94,120000,دنتال سنتر ایران
5,دستکش لاتکس,عدد,1297.60,184.27,8000,تجهیزات پارس دنت
6,ماسک سه‌لایه,عدد,747.17,171.50,5000,بازرگانی مروارید
7,سرسوزن دندانپزشکی,عدد,296.58,47.51,25000,دنتال سنتر ایران
8,نخ بخیه,عدد,1423.05,191.63,180000,پخش دنداطب
9,گاز استریل,بسته,538.81,127.81,40000,پخش دنداطب
10,رول پنبه,بسته,1329.88,187.24,30000,تجهیزات پارس دنت
11,اسید اچ فسفریک,میلی‌لیتر,150.33,63.10,60000,دنتال سنتر ایران
12,باندینگ,میلی‌لیتر,234.98,190.45,250000,شرکت آریا مد
13,سیلر کانال ریشه,گرم,1307.85,166.88,320000,دنتال سنتر ایران
14,گوتاپرکا,عدد,244.68,157.85,90000,شرکت آریا مد
15,فایل روتاری,عدد,346.95,190.43,450000,دنتال سنتر ایران
16,ماتریس نواری,عدد,660.58,177.04,15000,بازرگانی مروارید
17,وج چوبی,عدد,1158.57,187.20,6000,بازرگانی مروارید
18,سمان گلاس‌آینومر,گرم,526.95,148.33,210000,تجهیزات پارس دنت
19,سمان رزینی,گرم,437.96,98.86,340000,پخش دنداطب
20,آلژینات قالب‌گیری,گرم,69.39,64.62,55000,پخش دنداطب
21,گچ دندانپزشکی,گرم,289.93,125.90,12000,بازرگانی مروارید
22,ژل بلیچینگ,میلی‌لیتر,124.29,21.29,520000,پخش دنداطب
23,براکت ارتودنسی,عدد,446.84,61.21,150000,تجهیزات پارس دنت
24,وایر ارتودنسی,عدد,77.33,32.75,220000,شرکت آریا مد
25,کش ارتودنسی,بسته,92.47,58.56,35000,دنتال سنتر ایران
26,فلوراید ورنیش,میلی‌لیتر,296.70,123.72,95000,شرکت آریا مد
27,فیشورسیلانت رزینی,میلی‌لیتر,332.19,165.35,280000,پخش دنداطب
28,محلول ضدعفونی سطوح,میلی‌لیتر,446.61,138.62,18000,شرکت آریا مد
29,ساکشن تیپ یکبارمصرف,عدد,623.86,104.06,9000,پخش دنداطب
30,فیلم رادیوگرافی,عدد,185.11,30.91,70000,پخش دنداطب
