usage_id,consumable_id,session_id,quantity_used,usage_date
1,15,1,3.07,2025-12-06 10:21:00
2,13,1,1.34,2025-12-06 10:21:00
3,14,1,4.24,2025-12-06 10:21:00
4,1,1,3.1,2025-12-06 10:21:00
5,5,1,2.48,2025-12-06 10:21:00
6,9,1,1.66,2025-12-06 10:21:00
7,30,2,1.02,2026-02-24 16:51:00
8,5,2,1.8,2026-02-24 16:51:00
9,29,2,0.89,2026-02-24 16:51:00
10,1,3,2.61,2026-03-12 09:18:00
11,5,3,2.26,2026-03-12 09:18:00
12,9,3,1.95,2026-03-12 09:18:00
13,29,3,0.88,2026-03-12 09:18:00
14,2,4,0.56,2026-03-14 12:01:00
15,3,4,0.42,2026-03-14 12:01:00
16,11,4,0.58,2026-03-14 12:01:00
17,12,4,0.58,2026-03-14 12:01:00
18,16,4,1.15,2026-03-14 12:01:00
19,17,4,0.89,2026-03-14 12:01:00
20,5,4,1.82,2026-03-14 12:01:00
21,1,4,1.53,2026-03-14 12:01:00
22,30,5,1.1,2026-03-14 13:10:00
23,5,5,2.15,2026-03-14 13:10:00
24,29,5,0.83,2026-03-14 13:10:00
25,30,6,1.08,2026-03-21 09:00:00
26,5,6,1.91,2026-03-21 09:00:00
27,5,7,1.67,2026-06-29 14:00:00
28,6,7,0.91,2026-06-29 14:00:00
29,29,7,1.04,2026-06-29 14:00:00
30,5,8,2.06,2025-07-06 16:16:00
31,6,8,0.85,2025-07-06 16:16:00
32,29,8,0.89,2025-07-06 16:16:00
33,5,9,1.97,2025-07-22 14:38:00
34,6,9,1.15,2025-07-22 14:38:00
35,29,9,1.04,2025-07-22 14:38:00
36,30,10,0.98,2025-07-26 12:26:00
37,5,10,1.89,2025-07-26 12:26:00
38,19,11,0.74,2025-08-19 13:15:00
39,20,11,3.9,2025-08-19 13:15:00
40,21,11,6.67,2025-08-19 13:15:00
41,5,11,1.92,2025-08-19 13:15:00
42,1,11,1.76,2025-08-19 13:15:00
43,20,12,8.54,2025-08-25 12:46:00
44,21,12,13.98,2025-08-25 12:46:00
45,5,12,2.09,2025-08-25 12:46:00
46,1,13,2.35,2025-10-08 17:25:00
47,5,13,2.28,2025-10-08 17:25:00
48,9,13,1.81,2025-10-08 17:25:00
49,29,13,0.96,2025-10-08 17:25:00
50,27,14,0.68,2025-10-09 10:52:00
51,11,14,0.5,2025-10-09 10:52:00
52,12,14,0.44,2025-10-09 10:52:00
53,5,14,1.7,2025-10-09 10:52:00
54,27,15,0.68,2025-10-30 15:22:00
55,11,15,0.55,2025-10-30 15:22:00
56,12,15,0.38,2025-10-30 15:22:00
57,5,15,2.18,2025-10-30 15:22:00
58,19,16,0.97,2025-11-19 15:57:00
59,20,16,3.4,2025-11-19 15:57:00
60,21,16,6.22,2025-11-19 15:57:00
61,5,16,1.93,2025-11-19 15:57:00
62,1,16,1.26,2025-11-19 15:57:00
63,5,17,2.32,2025-12-22 10:28:00
64,6,17,1.18,2025-12-22 10:28:00
65,29,17,1.16,2025-12-22 10:28:00
66,28,17,4.54,2025-12-22 10:28:00
67,30,18,1.04,2026-03-19 11:11:00
68,5,18,2.36,2026-03-19 11:11:00
69,29,18,0.89,2026-03-19 11:11:00
70,5,19,2.27,2026-05-05 09:12:00
71,6,19,0.9,2026-05-05 09:12:00
72,29,19,1.17,2026-05-05 09:12:00
73,28,19,4.57,2026-05-05 09:12:00
74,26,20,1.75,2026-05-17 16:11:00
75,5,20,2.22,2026-05-17 16:11:00
76,10,20,0.98,2026-05-17 16:11:00
77,27,21,0.72,2026-05-26 10:14:00
78,11,21,0.46,2026-05-26 10:14:00
79,12,21,0.34,2026-05-26 10:14:00
80,5,21,1.88,2026-05-26 10:14:00
81,24,22,0.4,2026-06-13 14:09:00
82,25,22,0.62,2026-06-13 14:09:00
83,5,22,0.84,2026-06-13 14:09:00
84,5,23,1.76,2025-07-10 12:19:00
85,6,23,1.12,2025-07-10 12:19:00
86,29,23,1.11,2025-07-10 12:19:00
87,5,24,2.08,2025-08-07 12:01:00
88,6,24,1.11,2025-08-07 12:01:00
89,29,24,0.98,2025-08-07 12:01:00
90,28,24,5.87,2025-08-07 12:01:00
91,30,25,1.11,2025-08-23 16:28:00
92,5,25,1.71,2025-08-23 16:28:00
93,5,26,2.16,2025-09-15 14:19:00
94,6,26,0.93,2025-09-15 14:19:00
95,29,26,1.13,2025-09-15 14:19:00
96,28,26,5.45,2025-09-15 14:19:00
97,5,27,2.19,2026-01-24 10:00:00
98,6,27,1.0,2026-01-24 10:00:00
99,29,27,0.84,2026-01-24 10:00:00
100,4,28,1.06,2026-02-04 15:02:00
101,16,28,0.92,2026-02-04 15:02:00
102,17,28,1.16,2026-02-04 15:02:00
103,5,28,2.03,2026-02-04 15:02:00
104,10,28,0.99,2026-02-04 15:02:00
105,1,28,1.58,2026-02-04 15:02:00
106,1,29,2.56,2026-03-15 12:51:00
107,5,29,1.74,2026-03-15 12:51:00
108,9,29,2.16,2026-03-15 12:51:00
109,29,29,0.82,2026-03-15 12:51:00
110,30,30,1.01,2026-03-21 12:45:00
111,5,30,2.21,2026-03-21 12:45:00
112,5,31,2.06,2026-04-06 10:28:00
113,6,31,0.86,2026-04-06 10:28:00
114,29,31,1.13,2026-04-06 10:28:00
115,19,32,1.03,2026-06-03 10:32:00
116,20,32,3.55,2026-06-03 10:32:00
117,21,32,6.61,2026-06-03 10:32:00
118,5,32,2.32,2026-06-03 10:32:00
119,1,32,1.73,2026-06-03 10:32:00
120,24,33,0.33,2025-07-08 14:44:00
121,25,33,0.54,2025-07-08 14:44:00
122,5,33,1.17,2025-07-08 14:44:00
123,24,34,0.37,2025-07-13 14:02:00
124,25,34,0.55,2025-07-13 14:02:00
125,5,34,0.9,2025-07-13 14:02:00
126,5,35,1.93,2025-07-29 10:36:00
127,6,35,1.14,2025-07-29 10:36:00
128,29,35,0.84,2025-07-29 10:36:00
129,28,35,4.11,2025-07-29 10:36:00
130,27,36,0.74,2025-08-20 11:09:00
131,11,36,0.51,2025-08-20 11:09:00
132,12,36,0.35,2025-08-20 11:09:00
133,5,36,1.65,2025-08-20 11:09:00
134,4,37,1.11,2025-08-23 13:58:00
135,16,37,1.04,2025-08-23 13:58:00
136,17,37,0.96,2025-08-23 13:58:00
137,5,37,2.32,2025-08-23 13:58:00
138,10,37,1.16,2025-08-23 13:58:00
139,1,37,1.69,2025-08-23 13:58:00
140,30,38,1.05,2025-08-28 14:32:00
141,5,38,1.91,2025-08-28 14:32:00
142,24,39,0.36,2025-09-22 14:25:00
143,25,39,0.5,2025-09-22 14:25:00
144,5,39,1.16,2025-09-22 14:25:00
145,2,40,0.45,2025-11-12 12:18:00
146,3,40,0.51,2025-11-12 12:18:00
147,11,40,0.58,2025-11-12 12:18:00
148,12,40,0.51,2025-11-12 12:18:00
149,16,40,0.97,2025-11-12 12:18:00
150,17,40,1.12,2025-11-12 12:18:00
151,5,40,2.16,2025-11-12 12:18:00
152,1,40,1.93,2025-11-12 12:18:00
153,24,41,0.36,2025-11-27 14:54:00
154,25,41,0.53,2025-11-27 14:54:00
155,5,41,0.93,2025-11-27 14:54:00
156,4,42,1.22,2025-12-02 15:11:00
157,16,42,1.13,2025-12-02 15:11:00
158,17,42,1.15,2025-12-02 15:11:00
159,5,42,2.34,2025-12-02 15:11:00
160,10,42,0.99,2025-12-02 15:11:00
161,1,42,1.51,2025-12-02 15:11:00
162,2,43,0.59,2026-04-15 09:00:00
163,3,43,0.51,2026-04-15 09:00:00
164,11,43,0.62,2026-04-15 09:00:00
165,12,43,0.55,2026-04-15 09:00:00
166,16,43,1.16,2026-04-15 09:00:00
167,17,43,1.06,2026-04-15 09:00:00
168,5,43,2.06,2026-04-15 09:00:00
169,1,43,1.81,2026-04-15 09:00:00
170,5,44,2.16,2026-06-15 16:33:00
171,6,44,0.82,2026-06-15 16:33:00
172,29,44,1.02,2026-06-15 16:33:00
173,24,45,0.4,2026-08-05 15:57:00
174,25,45,0.49,2026-08-05 15:57:00
175,5,45,0.93,2026-08-05 15:57:00
176,4,46,1.26,2025-07-05 14:32:00
177,16,46,1.13,2025-07-05 14:32:00
178,17,46,0.98,2025-07-05 14:32:00
179,5,46,2.0,2025-07-05 14:32:00
180,10,46,1.06,2025-07-05 14:32:00
181,1,46,2.05,2025-07-05 14:32:00
182,4,47,1.29,2025-07-16 16:24:00
183,16,47,0.89,2025-07-16 16:24:00
184,17,47,0.89,2025-07-16 16:24:00
185,5,47,2.28,2025-07-16 16:24:00
186,10,47,0.99,2025-07-16 16:24:00
187,1,47,1.64,2025-07-16 16:24:00
188,24,48,0.44,2025-07-20 14:56:00
189,25,48,0.68,2025-07-20 14:56:00
190,5,48,0.91,2025-07-20 14:56:00
191,30,49,0.85,2025-10-01 16:13:00
192,5,49,1.68,2025-10-01 16:13:00
193,29,49,1.13,2025-10-01 16:13:00
194,5,50,2.16,2025-11-12 11:33:00
195,6,50,1.15,2025-11-12 11:33:00
196,29,50,0.92,2025-11-12 11:33:00
197,28,50,5.17,2025-11-12 11:33:00
198,22,51,2.4,2026-01-15 16:13:00
199,5,51,2.34,2026-01-15 16:13:00
200,10,51,1.91,2026-01-15 16:13:00
201,27,52,0.74,2026-02-18 16:15:00
202,11,52,0.47,2026-02-18 16:15:00
203,12,52,0.34,2026-02-18 16:15:00
204,5,52,2.17,2026-02-18 16:15:00
205,30,53,1.1,2026-02-25 17:03:00
206,5,53,1.94,2026-02-25 17:03:00
207,29,53,1.1,2026-02-25 17:03:00
208,24,54,0.35,2026-07-04 17:25:00
209,25,54,0.53,2026-07-04 17:25:00
210,5,54,0.98,2026-07-04 17:25:00
211,5,55,2.34,2025-09-22 14:00:00
212,6,55,1.06,2025-09-22 14:00:00
213,29,55,0.87,2025-09-22 14:00:00
214,2,56,0.54,2025-11-16 15:25:00
