consumable_id,name,unit,unit_price,supplier,min_stock_level,stock_quantity
1,لیدوکائین ۲٪,میلی‌لیتر,14000,تجهیزات پارس دنت,736.38,2207.44
2,کامپوزیت A2,گرم,117000,تجهیزات پارس دنت,67.8,41.93
3,کامپوزیت A3,گرم,117000,تجهیزات پارس دنت,67.89,181.15
4,آمالگام کپسولی,عدد,37000,دنتال سنتر ایران,64.63,122.53
5,دستکش لاتکس,عدد,2000,تجهیزات پارس دنت,1495.5,3048.99
6,ماسک سه‌لایه,عدد,2000,بازرگانی مروارید,138.16,350.9
7,سرسوزن دندانپزشکی,عدد,8000,دنتال سنتر ایران,10.0,32.4
8,نخ بخیه,عدد,56000,پخش دنداطب,46.37,28.14
9,گاز استریل,بسته,12000,پخش دنداطب,245.34,115.14
10,رول پنبه,بسته,9000,تجهیزات پارس دنت,112.72,335.92
11,اسید اچ فسفریک,میلی‌لیتر,19000,دنتال سنتر ایران,98.99,172.08
12,باندینگ,میلی‌لیتر,77000,شرکت آریا مد,82.06,205.4
13,سیلر کانال ریشه,گرم,99000,دنتال سنتر ایران,48.45,139.38
14,گوتاپرکا,عدد,28000,شرکت آریا مد,157.2,127.78
15,فایل روتاری,عدد,139000,دنتال سنتر ایران,117.37,372.98
16,ماتریس نواری,عدد,5000,بازرگانی مروارید,154.1,303.91
17,وج چوبی,عدد,2000,بازرگانی مروارید,154.4,284.91
18,سمان گلاس‌آینومر,گرم,65000,تجهیزات پارس دنت,10.0,19.77
19,سمان رزینی,گرم,105000,پخش دنداطب,44.94,103.14
20,آلژینات قالب‌گیری,گرم,17000,پخش دنداطب,297.69,918.86
21,گچ دندانپزشکی,گرم,4000,بازرگانی مروارید,431.12,307.02
22,ژل بلیچینگ,میلی‌لیتر,161000,پخش دنداطب,21.73,49.07
23,براکت ارتودنسی,عدد,46000,تجهیزات پارس دنت,169.41,479.84
24,وایر ارتودنسی,عدد,68000,شرکت آریا مد,48.37,120.85
25,کش ارتودنسی,بسته,11000,دنتال سنتر ایران,59.89,140.99
26,فلوراید ورنیش,میلی‌لیتر,29000,شرکت آریا مد,62.54,202.83
27,فیشورسیلانت رزینی,میلی‌لیتر,87000,پخش دنداطب,37.12,113.0
28,محلول ضدعفونی سطوح,میلی‌لیتر,6000,شرکت آریا مد,406.18,1337.0
29,ساکشن تیپ یکبارمصرف,عدد,3000,پخش دنداطب,237.07,411.11
30,فیلم رادیوگرافی,عدد,22000,پخش دنداطب,66.6,23.18
