payment_id,invoice_id,amount,payment_date,method,reference_number
1,1,4629000,2026-07-18,نقدی,REF-30846803
2,2,33670000,2026-06-19,نقدی,REF-66278979
3,3,836000,2025-09-15,انتقال بانکی,REF-29712500
4,3,660000,2025-09-23,کارت,REF-60946779
5,4,8256000,2026-06-11,کارت,REF-49396015
6,5,7403000,2025-12-07,انتقال بانکی,REF-63833397
7,5,6947000,2025-12-10,کارت,REF-25548085
8,6,3820000,2026-08-15,کارت,REF-15387778
9,7,6675000,2026-03-07,کارت,REF-16008641
10,8,1725000,2026-07-08,کارت,REF-11058112
11,9,13100000,2026-06-23,کارت,REF-30678712
12,10,8006000,2025-10-25,کارت,REF-56511312
13,10,5424000,2025-10-26,کارت,REF-78189944
14,11,1624000,2026-06-22,نقدی,REF-50427554
15,11,1366000,2026-06-29,نقدی,REF-24624869
16,12,14330000,2026-04-02,کارت,REF-70462179
17,13,17660000,2026-07-10,انتقال بانکی,REF-64234982
18,14,8013000,2026-07-17,نقدی,REF-83066021
19,14,5808000,2026-07-25,کارت,REF-64712107
20,15,23430000,2025-12-18,نقدی,REF-14724606
21,16,1405000,2026-07-21,انتقال بانکی,REF-35459237
22,16,985000,2026-07-27,کارت,REF-88584414
23,17,28472000,2026-07-15,کارت,REF-17824665
24,18,2990000,2025-12-09,نقدی,REF-61420090
25,19,17949000,2026-08-06,چک,REF-86077860
26,20,4073000,2026-07-11,نقدی,REF-70440014
27,21,6855000,2026-06-12,نقدی,REF-99521217
28,22,4272000,2026-07-17,کارت,REF-37017848
29,23,4565000,2026-02-27,چک,REF-44454543
30,24,22160000,2026-06-28,کارت,REF-11686228
31,25,22602000,2025-09-29,کارت,REF-12345113
32,26,5055000,2026-07-08,نقدی,REF-90140125
33,26,3700000,2026-07-12,کارت,REF-35161131
34,27,2746000,2026-04-12,کارت,REF-38222266
35,28,4954000,2025-11-19,انتقال بانکی,REF-91723613
36,28,3306000,2025-11-29,کارت,REF-87307515
37,29,10930000,2026-08-06,چک,REF-39409099
38,30,13028000,2026-08-13,انتقال بانکی,REF-21142071
39,31,4030000,2026-06-03,کارت,REF-41773903
40,32,8286000,2026-07-08,انتقال بانکی,REF-21064754
41,33,2996000,2026-08-15,نقدی,REF-18542866
42,34,25216000,2026-07-24,انتقال بانکی,REF-10734134
43,35,2046000,2026-03-03,نقدی,REF-62581121
44,36,305000,2026-08-09,کارت,REF-81908339
45,36,319000,2026-08-12,کارت,REF-52666983
46,37,27889000,2026-08-04,انتقال بانکی,REF-16551440
47,38,10950000,2026-03-08,نقدی,REF-45544539
48,39,8813000,2026-07-12,کارت,REF-28069298
49,40,6228000,2026-03-17,کارت,REF-93089312
50,41,1612000,2026-08-18,نقدی,REF-22604269
51,42,25809000,2026-07-05,انتقال بانکی,REF-59298787
52,43,1300000,2026-03-06,کارت,REF-11927240
53,44,290000,2026-07-20,کارت,REF-77931608
54,45,2997000,2026-08-02,نقدی,REF-57427823
55,45,2783000,2026-08-09,کارت,REF-54473190
56,46,4092000,2026-05-24,نقدی,REF-14437377
57,46,4196000,2026-05-30,چک,REF-88055706
58,47,492000,2026-05-02,چک,REF-10245723
59,48,7446000,2026-08-15,کارت,REF-87290401
60,49,15708000,2026-03-22,کارت,REF-15368666
61,50,18743000,2026-08-06,چک,REF-63448629
62,51,9120000,2026-07-07,انتقال بانکی,REF-55318853
63,52,7710000,2026-01-16,کارت,REF-36230403
64,53,13270000,2026-04-20,نقدی,REF-65335587
65,54,5440000,2026-06-12,نقدی,REF-94834319
66,55,6408000,2026-06-18,کارت,REF-29522176
67,56,6340000,2026-01-08,کارت,REF-62439777
68,57,5030000,2026-08-12,نقدی,REF-20271177
69,59,7550000,2026-07-12,کارت,REF-76584139
70,60,3012000,2025-11-20,کارت,REF-33083291
71,62,14344000,2026-08-01,نقدی,REF-42004243
72,63,44013000,2026-02-04,کارت,REF-14955553
73,64,3576000,2026-07-01,کارت,REF-54313671
74,65,2710000,2026-03-18,انتقال بانکی,REF-12172258
75,66,12708000,2026-04-12,کارت,REF-91172823
76,67,17970000,2026-07-22,کارت,REF-32915119
77,68,25179000,2026-07-24,کارت,REF-20915479
78,69,19515000,2026-08-06,کارت,REF-38039963
79,70,16405000,2026-05-07,کارت,REF-88670571
80,71,1141000,2026-06-22,نقدی,REF-43494044
81,71,1539000,2026-06-23,چک,REF-65294654
82,72,6178000,2026-08-26,کارت,REF-54477781
83,73,38288000,2026-07-05,کارت,REF-49836107
84,74,26033000,2026-08-18,نقدی,REF-30402496
85,75,5516000,2026-06-08,نقدی,REF-59485673
86,76,51552000,2026-07-20,نقدی,REF-30774316
87,77,4920000,2025-11-04,کارت,REF-12716083
88,78,5032000,2026-08-08,کارت,REF-65681879
89,79,31910000,2026-07-16,انتقال بانکی,REF-90508959
90,80,22390000,2026-07-08,کارت,REF-92715791
91,81,6341000,2026-08-11,کارت,REF-54193233
92,82,15878000,2026-05-23,نقدی,REF-58834043
93,83,67314000,2026-08-09,نقدی,REF-17570486
94,83,73256000,2026-08-11,کارت,REF-55383955
95,84,2014000,2025-11-11,نقدی,REF-11875125
96,84,1573000,2025-11-19,نقدی,REF-24492384
97,85,451000,2026-05-30,کارت,REF-79802148
98,86,41050000,2026-07-25,کارت,REF-68447317
99,87,18705000,2026-02-25,نقدی,REF-41440013
100,88,2716000,2026-06-06,نقدی,REF-55071369
101,88,3413000,2026-06-15,نقدی,REF-26366106
102,89,32912000,2026-08-10,انتقال بانکی,REF-70472165
103,90,11148000,2026-03-20,انتقال بانکی,REF-35708815
104,91,15610000,2026-08-12,چک,REF-26504771
105,92,3768000,2026-06-23,نقدی,REF-12303058
106,93,8552000,2026-05-15,نقدی,REF-49968723
107,94,33513000,2026-07-28,چک,REF-15064670
108,94,34967000,2026-07-31,انتقال بانکی,REF-97287605
109,95,8128000,2026-06-14,نقدی,REF-94635032
110,96,43112000,2026-06-17,انتقال بانکی,REF-65890097
111,97,19733000,2026-07-23,انتقال بانکی,REF-69070077
112,98,2810000,2026-07-22,کارت,REF-44044295
113,99,25116000,2026-03-25,نقدی,REF-96627982
114,100,10290000,2026-06-05,انتقال بانکی,REF-86076056
115,101,17978000,2026-08-03,انتقال بانکی,REF-95609345
116,102,1778000,2026-05-04,کارت,REF-19451986
117,103,10900000,2026-01-23,کارت,REF-48567776
118,104,2540000,2026-06-15,کارت,REF-54259249
119,105,59864000,2026-08-13,کارت,REF-58027104
120,106,7790000,2026-04-17,چک,REF-58680428
121,107,3248000,2026-08-08,انتقال بانکی,REF-82941322
122,108,19530000,2026-02-14,انتقال بانکی,REF-66045264
123,109,218000,2026-07-19,کارت,REF-90048660
124,110,5719000,2026-08-10,انتقال بانکی,REF-38800944
125,110,6462000,2026-08-15,نقدی,REF-54943559
126,111,11578000,2025-12-21,کارت,REF-79780983
127,112,352000,2026-07-21,کارت,REF-49742202
128,113,15451000,2026-07-25,نقدی,REF-20037269
129,114,2310000,2026-08-06,انتقال بانکی,REF-30998460
130,115,25951000,2026-05-23,کارت,REF-22949041
131,116,3550000,2026-05-04,انتقال بانکی,REF-48692418
132,117,11766000,2026-07-28,کارت,REF-65343442
133,118,7035000,2026-04-28,نقدی,REF-16063793
134,119,58340000,2026-06-25,کارت,REF-32679878
135,120,28797000,2026-08-06,کارت,REF-59939765
136,121,10404000,2025-09-21,کارت,REF-41366268
137,122,4046000,2026-07-16,کارت,REF-42090283
138,123,15670000,2026-08-10,کارت,REF-61541812
139,124,886000,2026-06-18,کارت,REF-27409336
140,124,929000,2026-06-27,نقدی,REF-56408400
141,125,360000,2026-06-06,کارت,REF-72938332
142,126,1683000,2026-07-27,کارت,REF-81639143
143,127,13160000,2026-06-10,انتقال بانکی,REF-84175380
144,128,1059000,2026-06-17,نقدی,REF-23287243
145,128,1469000,2026-06-24,چک,REF-29006708
146,129,18910000,2026-06-01,نقدی,REF-54111328
147,130,1482000,2026-06-11,نقدی,REF-40065002
148,132,16068000,2026-07-15,انتقال بانکی,REF-62542002
149,133,8130000,2026-03-09,نقدی,REF-86197881
150,133,5955000,2026-03-10,کارت,REF-61561851
151,134,825000,2026-08-10,کارت,REF-18201337
152,135,2220000,2026-04-28,کارت,REF-11875796
153,136,12700000,2026-08-06,نقدی,REF-62886613
154,137,23920000,2026-06-02,نقدی,REF-63296266
155,138,4840000,2026-08-15,کارت,REF-11459641
156,139,41100000,2026-07-21,انتقال بانکی,REF-45120267
157,140,3287000,2026-07-30,انتقال بانکی,REF-42271035
158,140,4543000,2026-08-05,کارت,REF-89277172
159,141,3954000,2026-08-09,کارت,REF-77052847
160,141,5246000,2026-08-16,انتقال بانکی,REF-29847425
161,142,17966000,2026-08-04,نقدی,REF-94739742
162,143,17969000,2026-07-21,کارت,REF-35163954
163,144,8412000,2026-07-29,کارت,REF-31691724
164,145,11690000,2026-07-06,کارت,REF-54658521
165,146,1129000,2026-01-19,کارت,REF-62885829
166,146,1221000,2026-01-23,کارت,REF-43719948
167,147,2540000,2026-08-11,کارت,REF-73614962
168,148,56840000,2026-07-23,کارت,REF-21303549
169,149,20124000,2026-08-08,انتقال بانکی,REF-16018055
170,150,11094000,2025-12-14,نقدی,REF-18828598
171,151,1200000,2026-05-10,کارت,REF-16332303
172,152,6320000,2026-03-04,چک,REF-10644378
173,153,300000,2026-07-18,چک,REF-65485853
174,154,31544000,2026-08-20,چک,REF-90693165
175,155,1222000,2026-06-22,انتقال بانکی,REF-58328067
176,155,1768000,2026-06-30,انتقال بانکی,REF-73077216
177,156,7490000,2026-07-18,کارت,REF-37125766
178,157,40545000,2026-02-28,چک,REF-81170503
179,158,1530000,2026-08-13,کارت,REF-36844801
180,159,16792000,2026-06-16,نقدی,REF-91900083
181,160,7870000,2026-02-18,نقدی,REF-60154221
182,161,980000,2026-07-25,کارت,REF-16623625
183,162,27890000,2026-08-04,نقدی,REF-34946209
184,164,18550000,2026-03-27,چک,REF-42566385
185,165,36109000,2026-08-17,انتقال بانکی,REF-22926377
186,166,21840000,2026-07-25,انتقال بانکی,REF-45016962
187,167,2628000,2026-08-04,انتقال بانکی,REF-22041391
188,168,315000,2026-01-30,کارت,REF-15800454
189,169,9828000,2026-07-07,نقدی,REF-83420815
190,170,2378000,2026-07-06,کارت,REF-45308733
191,171,14200000,2026-02-27,کارت,REF-59946901
192,172,7604000,2026-08-05,کارت,REF-24998809
193,172,6306000,2026-08-12,نقدی,REF-94984702
194,173,4812000,2026-06-04,انتقال بانکی,REF-51612678
195,173,5488000,2026-06-07,انتقال بانکی,REF-44059807
196,174,510000,2026-07-28,انتقال بانکی,REF-80128370
197,175,1722000,2026-07-25,نقدی,REF-70564690
198,176,13528000,2026-07-29,نقدی,REF-52687452
199,177,34760000,2026-08-02,نقدی,REF-16927233
200,178,3414000,2026-06-21,کارت,REF-76569169
