payment_id,invoice_id,amount,payment_date,method,reference_number
1,1,760000,2026-07-07,کارت,REF-35777882
2,1,770000,2026-08-03,نقد,
3,2,5040000,2026-07-12,کارت,REF-55377506
4,3,6900000,2026-06-02,کارت,REF-89696670
5,4,3390000,2026-05-25,کارت,REF-53967942
6,4,3390000,2026-07-14,چک,REF-86161162
7,4,3390000,2026-08-03,کارت,REF-52387241
8,5,1870000,2026-06-21,چک,REF-55047202
9,6,7250000,2026-07-13,کارت,REF-74364772
10,6,7260000,2026-08-03,کارت,REF-62073851
11,7,30120000,2026-07-07,نقد,
12,7,30128000,2026-08-03,کارت,REF-71360217
13,8,780000,2026-07-07,کارت,REF-72299563
14,8,780000,2026-08-03,کارت,REF-91742195
15,9,3540000,2026-07-04,نقد,
16,10,1845000,2026-06-29,چک,REF-82592552
17,11,16400000,2026-07-04,کارت,REF-75857472
18,11,16416000,2026-08-03,کارت,REF-48929203
19,12,4390000,2026-06-25,کارت,REF-31175895
20,14,2110000,2026-06-20,نقد,
21,14,2120000,2026-08-03,چک,REF-58344114
22,15,3240000,2026-07-02,کارت,REF-42392318
23,15,3240000,2026-08-03,چک,REF-32571727
24,15,3240000,2026-08-03,کارت,REF-87229402
25,16,7200000,2026-06-25,کارت,REF-73254605
26,17,5680000,2026-07-04,نقد,
27,17,5680000,2026-08-03,کارت,REF-43240142
28,17,5680000,2026-08-03,چک,REF-71155870
29,18,1960000,2026-07-20,کارت,REF-13339483
30,18,1970000,2026-08-03,نقد,
31,19,1340000,2026-06-02,نقد,
32,19,1350000,2026-07-29,چک,REF-81468340
33,20,2460000,2026-07-11,کارت,REF-30440427
34,20,2470000,2026-08-03,نقد,
35,21,6984000,2026-06-30,کارت,REF-21127708
36,22,7482000,2026-07-19,کارت,REF-76799701
37,23,6340000,2026-06-22,بیمه,REF-34773545
38,23,6340000,2026-07-26,کارت,REF-41754682
39,24,1610000,2026-07-09,نقد,
40,24,1620000,2026-07-29,کارت,REF-46593676
41,25,16800000,2026-05-28,کارت,REF-94181761
42,25,16800000,2026-07-24,کارت,REF-94313709
43,26,2530000,2026-07-18,کارت,REF-68284185
44,26,2540000,2026-08-03,کارت,REF-69432877
45,27,9270000,2026-07-22,نقد,
46,27,9280000,2026-08-03,چک,REF-56661727
47,28,24620000,2026-07-14,چک,REF-87601296
48,28,24620000,2026-08-03,کارت,REF-31427857
49,30,21000000,2026-07-14,کارت,REF-20586228
50,30,21016000,2026-08-03,کارت,REF-22762081
51,31,9150000,2026-06-30,نقد,
52,32,32604000,2026-07-02,کارت,REF-77380569
53,33,3090000,2026-07-14,نقد,
54,33,3100000,2026-08-03,نقد,
55,35,2040000,2026-07-12,نقد,
56,35,2052000,2026-08-03,کارت,REF-29334055
57,36,5040000,2026-06-21,کارت,REF-90588940
58,37,4590000,2026-06-24,کارت,REF-53357938
59,37,4590000,2026-08-03,کارت,REF-74562677
60,38,12680000,2026-06-03,کارت,REF-27425259
61,38,12680000,2026-07-10,کارت,REF-44350353
62,39,3816000,2026-06-28,کارت,REF-52763423
63,40,1010000,2026-06-13,کارت,REF-29222180
64,40,1010000,2026-08-03,کارت,REF-62545147
65,41,700000,2026-07-11,چک,REF-56238403
66,41,700000,2026-08-03,کارت,REF-46348166
67,41,720000,2026-08-03,نقد,
68,42,38070000,2026-06-27,کارت,REF-76589755
69,43,6220000,2026-07-21,کارت,REF-85753061
70,44,2690000,2026-07-15,کارت,REF-12676883
71,44,2700000,2026-08-03,نقد,
72,45,4100000,2026-06-01,کارت,REF-54818930
73,45,4110000,2026-07-27,کارت,REF-73697861
74,46,2930000,2026-06-10,کارت,REF-10611449
75,47,4650000,2026-07-02,چک,REF-98265733
76,47,4665000,2026-08-03,چک,REF-52760707
77,48,9720000,2026-06-17,نقد,
78,49,1580000,2026-07-04,کارت,REF-53128734
79,49,1580000,2026-08-01,کارت,REF-19691286
80,49,1587500,2026-08-03,کارت,REF-49390893
81,50,19800000,2026-07-04,بیمه,REF-39417251
82,50,19808000,2026-08-03,کارت,REF-44589789
83,51,2880000,2026-05-26,کارت,REF-47601673
84,51,2890000,2026-07-01,کارت,REF-23074563
85,52,11060000,2026-05-30,چک,REF-62067764
86,53,3380000,2026-06-11,کارت,REF-18748841
87,54,4240000,2026-06-22,کارت,REF-71461405
88,54,4240000,2026-08-03,کارت,REF-55429188
89,55,10248000,2026-07-04,کارت,REF-51008384
90,56,6220000,2026-07-06,کارت,REF-25930501
91,56,6224000,2026-08-03,کارت,REF-47946928
92,57,2400000,2026-07-04,کارت,REF-30093493
93,59,970000,2026-07-04,کارت,REF-90638188
94,59,980000,2026-08-03,کارت,REF-74264687
95,61,2220000,2026-06-16,نقد,
96,61,2236000,2026-08-03,کارت,REF-27810002
97,62,7752000,2026-07-07,کارت,REF-92318841
98,63,2940000,2026-05-28,کارت,REF-65248383
99,64,38170000,2026-05-27,کارت,REF-90917171
100,65,3120000,2026-05-25,کارت,REF-38340419
101,65,3120000,2026-07-13,کارت,REF-44954158
102,66,32767500,2026-06-08,چک,REF-68743915
103,67,23060000,2026-06-03,نقد,
104,67,23070000,2026-06-25,نقد,
105,68,1050000,2026-07-21,نقد,
106,68,1050000,2026-08-03,بیمه,REF-59213348
107,68,1060000,2026-08-03,نقد,
108,69,7600000,2026-07-02,کارت,REF-18735980
109,69,7608000,2026-08-03,کارت,REF-28042050
110,70,2890000,2026-06-29,نقد,
111,70,2900000,2026-07-29,نقد,
112,71,3270000,2026-06-17,نقد,
113,71,3270000,2026-07-16,کارت,REF-94283066
114,71,3270000,2026-08-03,کارت,REF-71286978
115,72,51380000,2026-06-02,چک,REF-73122955
116,73,2400000,2026-07-16,نقد,
117,75,2130000,2026-06-06,چک,REF-33020926
118,75,2140000,2026-07-17,کارت,REF-96753387
119,77,3270000,2026-06-23,نقد,
120,78,1090000,2026-06-01,کارت,REF-93173583
121,78,1090000,2026-07-19,نقد,
122,79,2060000,2026-07-05,نقد,
123,79,2070000,2026-08-03,کارت,REF-62403850
124,83,4100000,2026-06-28,بیمه,REF-41530157
125,84,7760000,2026-07-20,کارت,REF-70586059
126,85,1510000,2026-05-30,نقد,
127,85,1510000,2026-07-19,کارت,REF-53467964
128,86,11470000,2026-07-22,نقد,
129,86,11480000,2026-08-03,نقد,
130,87,920000,2026-06-23,بیمه,REF-87265985
